location.x|location.y|location.z|vector.x|vector.y|vector.z|Route
319.8978|-71.3749|0.0043|-0.7739|-0.6333|-0.0|-
322.3289|-65.81|0.0043|0.9146|0.4044|0.0|-
323.7444|-69.011|0.0043|-0.9146|-0.4044|-0.0|-
327.569|-64.2939|0.0043|0.9892|0.1464|0.0|-
328.0814|-67.7562|0.0043|-0.9892|-0.1464|-0.0|-
332.884|-64.1526|0.0043|0.9992|-0.04|0.0|-
332.7439|-67.6498|0.0043|-0.9992|0.04|-0.0|-
337.88|-64.3527|0.0043|0.9992|-0.04|0.0|-
337.7399|-67.8499|0.0043|-0.9992|0.04|-0.0|-
342.876|-64.5528|0.0043|0.9992|-0.04|0.0|-
342.7359|-68.05|0.0043|-0.9992|0.04|-0.0|-
347.859|-64.7374|0.0043|0.9995|-0.0323|0.0|-
347.746|-68.2356|0.0043|-0.9995|0.0323|-0.0|-
352.8396|-64.8733|0.0043|0.9998|-0.0223|0.0|-
352.7617|-68.3724|0.0043|-0.9998|0.0223|-0.0|-
357.8221|-64.9594|0.0043|0.9999|-0.0127|0.0|-
357.7777|-68.4592|0.0043|-0.9999|0.0127|-0.0|-
362.8217|-65.0229|0.0043|0.9999|-0.0127|0.0|-
362.7773|-68.5226|0.0043|-0.9999|0.0127|-0.0|-
367.8212|-65.0863|0.0043|0.9999|-0.0127|0.0|-
367.7769|-68.586|0.0043|-0.9999|0.0127|-0.0|-
372.8208|-65.1497|0.0043|0.9999|-0.0127|0.0|-
372.7765|-68.6495|0.0043|-0.9999|0.0127|-0.0|-
314.12|-127.8437|0.0043|0.0089|-1.0|-0.0|-
314.9132|-123.9778|0.0101|-0.5261|-0.8504|-0.0044|-
317.8384|-121.6525|0.0196|-0.944|-0.3301|-0.0|-
258.6386|-238.2886|0.0196|0.0031|-1.0|0.0|-
258.6541|-243.2885|0.0196|0.0031|-1.0|0.0|-
258.6695|-248.2885|0.0196|0.0031|-1.0|0.0|-
258.6849|-253.2885|0.0196|0.0031|-1.0|0.0|-
-514.2297|177.5217|0.0|-0.0062|1.0|0.0|-
-510.7297|177.5436|0.0|-0.0062|1.0|0.0|route3
-507.2298|177.5654|0.0|-0.0062|1.0|0.0|route2
-503.7299|177.5872|0.0|-0.0062|1.0|0.0|route1
-493.2301|177.6528|0.0|0.0062|-1.0|-0.0|-
-489.7302|177.6746|0.0|0.0062|-1.0|-0.0|-
