feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | brake | releasebrake | Q | 
43.51 | 0 | 0 | 1.3 | 0 | 1 | 0 | -19938.03 | 
43.51 | 0 | 0 | 1.3 | 0 | 0 | 1 | -19906.47 | 
44.51 | 0 | 0 | 1.4 | 0 | 1 | 0 | -20461.82 | 
44.51 | 0 | 0 | 1.4 | 0 | 0 | 1 | -19657.44 | 
45.51 | 0 | 0 | 1.5 | 0 | 1 | 0 | -19358.66 | 
45.51 | 0 | 0 | 1.5 | 0 | 0 | 1 | -18983.14 | 
46.51 | 0 | 0 | 1.6 | 0 | 1 | 0 | -18039.34 | 
46.51 | 0 | 0 | 1.6 | 0 | 0 | 1 | -18456.04 | 
47.51 | 0 | 0 | 1.7 | 0 | 1 | 0 | -16916.71 | 
47.51 | 0 | 0 | 1.7 | 0 | 0 | 1 | -17168.63 | 
47.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | -17301.04 | 
47.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | -17025.9 | 
47.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | -17469.57 | 
47.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | -17303.95 | 
47.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | -19175.08 | 
47.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | -19214.59 | 
47.51 | 0 | 0 | 2.1 | 1 | 1 | 0 | 0 | 
47.51 | 0 | 0 | 2.1 | 1 | 0 | 1 | 0 | 
59.51 | 0 | 0 | 2.6 | 0 | 1 | 0 | -1581.02 | 
59.51 | 0 | 0 | 2.6 | 0 | 0 | 1 | -1334.95 | 
60.51 | 0 | 0 | 2.7 | 0 | 1 | 0 | -1346.54 | 
60.51 | 0 | 0 | 2.7 | 0 | 0 | 1 | -1348.68 | 
61.51 | 0 | 0 | 2.8 | 0 | 1 | 0 | -1477.02 | 
61.51 | 0 | 0 | 2.8 | 0 | 0 | 1 | -1377.51 | 
62.51 | 0 | 0 | 2.9 | 0 | 1 | 0 | 3347.83 | 
62.51 | 0 | 0 | 2.9 | 0 | 0 | 1 | 1015.17 | 
63.51 | 0 | 0 | 3.0 | 0 | 1 | 0 | 1715.93 | 
63.51 | 0 | 0 | 3.0 | 0 | 0 | 1 | 3200.68 | 
64.51 | 0 | 0 | 3.1 | 0 | 1 | 0 | 2801.65 | 
64.51 | 0 | 0 | 3.1 | 0 | 0 | 1 | 4796.25 | 
65.51 | 0 | 0 | 3.2 | 0 | 1 | 0 | 2811.02 | 
65.51 | 0 | 0 | 3.2 | 0 | 0 | 1 | 6051.71 | 
66.51 | 0 | 0 | 3.3 | 0 | 1 | 0 | 5271.19 | 
66.51 | 0 | 0 | 3.3 | 0 | 0 | 1 | 2257.79 | 
66.51 | 0 | 0 | 3.4 | 1 | 1 | 0 | 0 | 
66.51 | 0 | 0 | 3.4 | 1 | 0 | 1 | 0 | 
54.51 | 0 | 0 | 2.3 | 0 | 1 | 0 | -7936.41 | 
54.51 | 0 | 0 | 2.3 | 0 | 0 | 1 | -6814.5 | 
54.51 | 0 | 0 | 2.4 | 0 | 1 | 0 | -7399.43 | 
54.51 | 0 | 0 | 2.4 | 0 | 0 | 1 | -8396.43 | 
54.51 | 0 | 0 | 2.5 | 1 | 1 | 0 | 0 | 
54.51 | 0 | 0 | 2.5 | 1 | 0 | 1 | 0 | 
67.51 | 0 | 0 | 3.4 | 0 | 1 | 0 | 5421.21 | 
67.51 | 0 | 0 | 3.4 | 0 | 0 | 1 | 2224.07 | 
68.51 | 0 | 0 | 3.5 | 0 | 1 | 0 | 4906.65 | 
68.51 | 0 | 0 | 3.5 | 0 | 0 | 1 | 2048.47 | 
69.51 | 0 | 0 | 3.6 | 0 | 1 | 0 | 1630.58 | 
69.51 | 0 | 0 | 3.6 | 0 | 0 | 1 | 4601.47 | 
70.51 | 0 | 0 | 3.7 | 0 | 1 | 0 | 5441.73 | 
70.51 | 0 | 0 | 3.7 | 0 | 0 | 1 | 1437.22 | 
71.51 | 0 | 0 | 3.8 | 0 | 1 | 0 | 3086.42 | 
71.51 | 0 | 0 | 3.8 | 0 | 0 | 1 | 5268.01 | 
72.51 | 0 | 0 | 3.9 | 0 | 1 | 0 | 3969.17 | 
72.51 | 0 | 0 | 3.9 | 0 | 0 | 1 | 3844.54 | 
73.51 | 0 | 0 | 4.0 | 0 | 1 | 0 | 8378.44 | 
73.51 | 0 | 0 | 4.0 | 0 | 0 | 1 | 7555.4 | 
74.51 | 0 | 0 | 4.1 | 0 | 1 | 0 | 5907.2 | 
74.51 | 0 | 0 | 4.1 | 0 | 0 | 1 | 9320.45 | 
75.51 | 0 | 0 | 4.2 | 0 | 1 | 0 | 9996.41 | 
75.51 | 0 | 0 | 4.2 | 0 | 0 | 1 | 10015.44 | 
76.51 | 0 | 0 | 4.3 | 0 | 1 | 0 | 10014.82 | 
76.51 | 0 | 0 | 4.3 | 0 | 0 | 1 | 10011.03 | 
76.51 | 0 | 0 | 4.4 | 0 | 1 | 0 | 10010.89 | 
76.51 | 0 | 0 | 4.4 | 0 | 0 | 1 | 9990.58 | 
77.51 | 0 | 0 | 4.5 | 0 | 1 | 0 | 10005.92 | 
77.51 | 0 | 0 | 4.5 | 0 | 0 | 1 | 10007.63 | 
77.51 | 0 | 0 | 4.6 | 0 | 1 | 0 | 9986.01 | 
77.51 | 0 | 0 | 4.6 | 0 | 0 | 1 | 10003.66 | 
77.51 | 0 | 0 | 4.7 | 0 | 1 | 0 | 10001.95 | 
77.51 | 0 | 0 | 4.7 | 0 | 0 | 1 | 10003.65 | 
77.51 | 0 | 0 | 4.8 | 0 | 1 | 0 | 10003.6 | 
77.51 | 0 | 0 | 4.8 | 0 | 0 | 1 | 9940.95 | 
77.51 | 0 | 0 | 4.9 | 0 | 1 | 0 | 9929.63 | 
77.51 | 0 | 0 | 4.9 | 0 | 0 | 1 | 10000.0 | 
77.51 | 0 | 0 | 5.0 | 1 | 1 | 0 | 0 | 
77.51 | 0 | 0 | 5.0 | 1 | 0 | 1 | 0 | 
48.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | -14531.39 | 
48.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | -14320.33 | 
48.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | -14688.26 | 
48.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | -14084.64 | 
48.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | -15134.98 | 
48.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | -13634.56 | 
48.51 | 0 | 0 | 2.1 | 0 | 1 | 0 | -16378.6 | 
48.51 | 0 | 0 | 2.1 | 0 | 0 | 1 | -13244.24 | 
48.51 | 0 | 0 | 2.2 | 1 | 1 | 0 | 0 | 
48.51 | 0 | 0 | 2.2 | 1 | 0 | 1 | 0 | 
45.51 | 0 | 0 | 1.6 | 0 | 1 | 0 | -19851.66 | 
45.51 | 0 | 0 | 1.6 | 0 | 0 | 1 | -19818.85 | 
45.51 | 0 | 0 | 1.7 | 0 | 1 | 0 | -20108.64 | 
45.51 | 0 | 0 | 1.7 | 0 | 0 | 1 | -20083.8 | 
45.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | -20592.44 | 
45.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | -20669.78 | 
45.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | -21898.32 | 
45.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | -21212.31 | 
45.51 | 0 | 0 | 2.0 | 1 | 1 | 0 | 0 | 
45.51 | 0 | 0 | 2.0 | 1 | 0 | 1 | 0 | 
43.51 | 0 | 0 | 0.9 | 0 | 1 | 0 | 2262.65 | 
43.51 | 0 | 0 | 0.9 | 0 | 0 | 1 | 5167.32 | 
44.51 | 0 | 0 | 1.0 | 0 | 1 | 0 | 4126.91 | 
44.51 | 0 | 0 | 1.0 | 0 | 0 | 1 | 1843.78 | 
45.51 | 0 | 0 | 1.1 | 0 | 1 | 0 | 4359.69 | 
45.51 | 0 | 0 | 1.1 | 0 | 0 | 1 | 1794.91 | 
46.51 | 0 | 0 | 1.2 | 0 | 1 | 0 | 4525.59 | 
46.51 | 0 | 0 | 1.2 | 0 | 0 | 1 | 1677.08 | 
47.51 | 0 | 0 | 1.3 | 0 | 1 | 0 | 1642.05 | 
47.51 | 0 | 0 | 1.3 | 0 | 0 | 1 | 4625.22 | 
48.51 | 0 | 0 | 1.4 | 0 | 1 | 0 | 2238.6 | 
48.51 | 0 | 0 | 1.4 | 0 | 0 | 1 | 4675.98 | 
49.51 | 0 | 0 | 1.5 | 0 | 1 | 0 | 4710.12 | 
49.51 | 0 | 0 | 1.5 | 0 | 0 | 1 | 2172.44 | 
50.51 | 0 | 0 | 1.6 | 0 | 1 | 0 | 1537.27 | 
50.51 | 0 | 0 | 1.6 | 0 | 0 | 1 | 4765.49 | 
51.51 | 0 | 0 | 1.7 | 0 | 1 | 0 | 4847.51 | 
51.51 | 0 | 0 | 1.7 | 0 | 0 | 1 | 1777.08 | 
52.51 | 0 | 0 | 1.8 | 0 | 1 | 0 | 4947.76 | 
52.51 | 0 | 0 | 1.8 | 0 | 0 | 1 | 1193.44 | 
53.51 | 0 | 0 | 1.9 | 0 | 1 | 0 | 1505.5 | 
53.51 | 0 | 0 | 1.9 | 0 | 0 | 1 | 5025.94 | 
54.51 | 0 | 0 | 2.0 | 0 | 1 | 0 | 525.21 | 
54.51 | 0 | 0 | 2.0 | 0 | 0 | 1 | 5021.84 | 
55.51 | 0 | 0 | 2.1 | 0 | 1 | 0 | 1131.36 | 
55.51 | 0 | 0 | 2.1 | 0 | 0 | 1 | 4863.22 | 
56.51 | 0 | 0 | 2.2 | 0 | 1 | 0 | 1575.74 | 
56.51 | 0 | 0 | 2.2 | 0 | 0 | 1 | 4511.67 | 
57.51 | 0 | 0 | 2.3 | 0 | 1 | 0 | 4014.37 | 
57.51 | 0 | 0 | 2.3 | 0 | 0 | 1 | 940.73 | 
58.51 | 0 | 0 | 2.4 | 0 | 1 | 0 | 3463.69 | 
58.51 | 0 | 0 | 2.4 | 0 | 0 | 1 | 687.14 | 
59.51 | 0 | 0 | 2.5 | 0 | 1 | 0 | 3041.76 | 
59.51 | 0 | 0 | 2.5 | 0 | 0 | 1 | 1639.39 | 
60.51 | 0 | 0 | 2.6 | 0 | 1 | 0 | 2951.97 | 
60.51 | 0 | 0 | 2.6 | 0 | 0 | 1 | 2293.97 | 
61.51 | 0 | 0 | 2.7 | 0 | 1 | 0 | 2488.92 | 
61.51 | 0 | 0 | 2.7 | 0 | 0 | 1 | 3202.06 | 
62.51 | 0 | 0 | 2.8 | 0 | 1 | 0 | 3811.63 | 
62.51 | 0 | 0 | 2.8 | 0 | 0 | 1 | 239.88 | 
62.51 | 0 | 0 | 3.0 | 0 | 1 | 0 | -1420.86 | 
62.51 | 0 | 0 | 3.0 | 0 | 0 | 1 | -1769.18 | 
62.51 | 0 | 0 | 3.1 | 1 | 1 | 0 | 0 | 
62.51 | 0 | 0 | 3.1 | 1 | 0 | 1 | 0 | 
59.51 | 0 | 0 | 2.7 | 0 | 1 | 0 | -2653.76 | 
59.51 | 0 | 0 | 2.7 | 0 | 0 | 1 | -3512.42 | 
60.51 | 0 | 0 | 2.8 | 0 | 1 | 0 | -2543.65 | 
60.51 | 0 | 0 | 2.8 | 0 | 0 | 1 | -3594.26 | 
60.51 | 0 | 0 | 2.9 | 1 | 1 | 0 | 0 | 
60.51 | 0 | 0 | 2.9 | 1 | 0 | 1 | 0 | 
72.51 | 0 | 0 | 4.0 | 0 | 1 | 0 | -1415.26 | 
72.51 | 0 | 0 | 4.0 | 0 | 0 | 1 | -1408.85 | 
73.51 | 0 | 0 | 4.1 | 0 | 1 | 0 | -1555.97 | 
73.51 | 0 | 0 | 4.1 | 0 | 0 | 1 | -1611.2 | 
